Time,Control,Treated
13.5904,0.892131,2.43901
75.5964,1.649,1.13338
105.325,0.433547,0.433547
136.753,0.390154,0.392558
169.03,0.440606,0.393731
227.639,0.447101,0.400226
257.367,0.450395,0.357985
278.602,0.452748,0.405873
288.795,0.407003,0.407003
308.331,0.409168,0.409168
318.524,0.597797,0.363422
328.717,0.552052,0.444909
339.759,0.553276,0.834526
350.801,0.601374,0.816218
360.994,0.977504,1.10688
381.38,1.44851,0.839138
391.572,0.887142,1.12152
411.958,2.0144,1.2644
422.151,1.17178,0.890531
