Time,ControlM,TreatedM,ControlS,TreatedS
13.5347,12.0362,46.1971,2.79456,6.04751
75.8011,2.2155,3.42494,0.755287,0.679752
104.566,2.69488,2.39675,0.60423,0.606217
135.996,1.76898,1.92554,0.679758,0.679758
167.399,1.62433,3.70879,0.60423,0.606217
227.545,2.58405,7.08483,0.60423,0.608204
278.146,2.13399,2.32976,0.60423,0.755287
290.329,2.91974,3.34738,0.60423,0.755287
308.557,5.42648,2.92851,0.830816,0.830816
318.124,6.21126,3.45355,0.60423,0.755322
328.655,4.34015,2.15088,0.528701,0.805083
338.952,9.1877,6.71706,1.20846,1.32482
349.276,13.254,7.76795,1.43505,0.911485
359.518,19.6641,13.9604,7.77946,4.08866
380.406,20.9218,13.7845,11.6314,9.18206
391.21,11.2383,11.2383,4.75831,5.247
412.371,4.68357,3.46406,3.24773,2.20369
422.062,1.87465,2.00617,1.5861,0.617993
